Week_Index,Week_Start_Date,Fiscal_Year,Fiscal_Week,Season,Fiscal_Month
1,2024-01-01,2024,1,Spring,1
2,2024-01-08,2024,2,Spring,1
3,2024-01-15,2024,3,Spring,1
4,2024-01-22,2024,4,Spring,1
5,2024-01-29,2024,5,Spring,2
6,2024-02-05,2024,6,Spring,2
7,2024-02-12,2024,7,Spring,2
8,2024-02-19,2024,8,Spring,2
9,2024-02-26,2024,9,Spring,3
10,2024-03-04,2024,10,Spring,3
11,2024-03-11,2024,11,Spring,3
12,2024-03-18,2024,12,Spring,3
13,2024-03-25,2024,13,Spring,4
14,2024-04-01,2024,14,Summer,4
15,2024-04-08,2024,15,Summer,4
16,2024-04-15,2024,16,Summer,4
17,2024-04-22,2024,17,Summer,4
18,2024-04-29,2024,18,Summer,5
19,2024-05-06,2024,19,Summer,5
20,2024-05-13,2024,20,Summer,5
21,2024-05-20,2024,21,Summer,5
22,2024-05-27,2024,22,Summer,6
23,2024-06-03,2024,23,Summer,6
24,2024-06-10,2024,24,Summer,6
25,2024-06-17,2024,25,Summer,6
26,2024-06-24,2024,26,Summer,7
27,2024-07-01,2024,27,Fall,7
28,2024-07-08,2024,28,Fall,7
29,2024-07-15,2024,29,Fall,7
30,2024-07-22,2024,30,Fall,7
31,2024-07-29,2024,31,Fall,8
32,2024-08-05,2024,32,Fall,8
33,2024-08-12,2024,33,Fall,8
34,2024-08-19,2024,34,Fall,8
35,2024-08-26,2024,35,Fall,9
36,2024-09-02,2024,36,Fall,9
37,2024-09-09,2024,37,Fall,9
38,2024-09-16,2024,38,Fall,9
39,2024-09-23,2024,39,Fall,10
40,2024-09-30,2024,40,Holiday,10
41,2024-10-07,2024,41,Holiday,10
42,2024-10-14,2024,42,Holiday,10
43,2024-10-21,2024,43,Holiday,10
44,2024-10-28,2024,44,Holiday,11
45,2024-11-04,2024,45,Holiday,11
46,2024-11-11,2024,46,Holiday,11
47,2024-11-18,2024,47,Holiday,11
48,2024-11-25,2024,48,Holiday,12
49,2024-12-02,2024,49,Holiday,12
50,2024-12-09,2024,50,Holiday,12
51,2024-12-16,2024,51,Holiday,12
52,2024-12-23,2024,52,Holiday,12
53,2024-12-30,2025,1,Spring,1
54,2025-01-06,2025,2,Spring,1
55,2025-01-13,2025,3,Spring,1
56,2025-01-20,2025,4,Spring,1
57,2025-01-27,2025,5,Spring,2
58,2025-02-03,2025,6,Spring,2
59,2025-02-10,2025,7,Spring,2
60,2025-02-17,2025,8,Spring,2
61,2025-02-24,2025,9,Spring,3
62,2025-03-03,2025,10,Spring,3
63,2025-03-10,2025,11,Spring,3
64,2025-03-17,2025,12,Spring,3
65,2025-03-24,2025,13,Spring,4
66,2025-03-31,2025,14,Summer,4
67,2025-04-07,2025,15,Summer,4
68,2025-04-14,2025,16,Summer,4
69,2025-04-21,2025,17,Summer,4
70,2025-04-28,2025,18,Summer,5
71,2025-05-05,2025,19,Summer,5
72,2025-05-12,2025,20,Summer,5
73,2025-05-19,2025,21,Summer,5
74,2025-05-26,2025,22,Summer,6
75,2025-06-02,2025,23,Summer,6
76,2025-06-09,2025,24,Summer,6
77,2025-06-16,2025,25,Summer,6
78,2025-06-23,2025,26,Summer,7
79,2025-06-30,2025,27,Fall,7
80,2025-07-07,2025,28,Fall,7
81,2025-07-14,2025,29,Fall,7
82,2025-07-21,2025,30,Fall,7
83,2025-07-28,2025,31,Fall,8
84,2025-08-04,2025,32,Fall,8
85,2025-08-11,2025,33,Fall,8
86,2025-08-18,2025,34,Fall,8
87,2025-08-25,2025,35,Fall,9
88,2025-09-01,2025,36,Fall,9
89,2025-09-08,2025,37,Fall,9
90,2025-09-15,2025,38,Fall,9
91,2025-09-22,2025,39,Fall,10
92,2025-09-29,2025,40,Holiday,10
93,2025-10-06,2025,41,Holiday,10
94,2025-10-13,2025,42,Holiday,10
95,2025-10-20,2025,43,Holiday,10
96,2025-10-27,2025,44,Holiday,11
97,2025-11-03,2025,45,Holiday,11
98,2025-11-10,2025,46,Holiday,11
99,2025-11-17,2025,47,Holiday,11
100,2025-11-24,2025,48,Holiday,12
101,2025-12-01,2025,49,Holiday,12
102,2025-12-08,2025,50,Holiday,12
103,2025-12-15,2025,51,Holiday,12
104,2025-12-22,2025,52,Holiday,12
